p theta v omega u
0.000000 3.141600 0.000000 0.000000 0.000000
-0.001088 3.142959 -0.087002 0.108611 -3.480532
-0.007630 3.151121 -0.436375 0.543930 -13.979485
-0.020809 3.167500 -0.617869 0.765471 -7.277539
-0.041158 3.192634 -1.009926 1.243699 -15.724544
-0.066261 3.223311 -0.998170 1.208681 0.397505
-0.094759 3.257584 -1.281417 1.530969 -11.451592
-0.121478 3.288780 -0.856125 0.963472 16.896476
-0.149064 3.319903 -1.350434 1.523968 -20.000000
-0.176533 3.349556 -0.847116 0.847450 20.000000
-0.199016 3.371519 -0.951465 0.908227 -4.414906
-0.221999 3.392347 -0.887094 0.757019 2.349168
-0.244617 3.410832 -0.922311 0.720728 -1.673009
-0.262730 3.421863 -0.526760 0.161477 15.677581
-0.273038 3.421401 -0.297868 -0.198386 8.964542
-0.274200 3.407837 0.205015 -0.886543 20.000000
-0.262781 3.377091 0.708567 -1.572557 20.000000
-0.238764 3.329251 1.212914 -2.253484 20.000000
-0.202133 3.264501 1.717514 -2.924226 20.000000
-0.152899 3.183191 2.220889 -3.576668 20.000000
-0.091120 3.085917 2.720454 -4.199109 20.000000
-0.016938 2.973612 3.212565 -4.776352 20.000000
0.069410 2.847622 3.692909 -5.290825 20.000000
0.167574 2.709741 4.157304 -5.724873 20.000000
0.277116 2.562174 4.602739 -6.063725 20.000000
0.397545 2.407428 5.028311 -6.298073 20.000000
0.528379 2.248166 5.435627 -6.425104 19.997817
0.658936 2.094544 5.010810 -5.872802 -15.204746
0.777634 1.954892 4.487396 -5.311194 -20.000000
0.883418 1.828397 3.977412 -4.819924 -20.000000
0.976601 1.713332 3.478981 -4.396252 -20.000000
1.057445 1.608051 2.989951 -4.036560 -20.000000
1.126159 1.511001 2.508229 -3.737235 -20.000000
1.182902 1.420713 2.031920 -3.495078 -20.000000
1.227786 1.335793 1.559370 -3.307491 -20.000000
1.260889 1.254900 1.089154 -3.172553 -20.000000
1.282253 1.176737 0.620034 -3.089049 -20.000000
1.291891 1.100024 0.150918 -3.056498 -20.000000
1.289791 1.023485 -0.319186 -3.075161 -20.000000
1.275916 0.945831 -0.791213 -3.146045 -20.000000
1.250207 0.865734 -1.266060 -3.270894 -20.000000
1.212582 0.781816 -1.744601 -3.452128 -20.000000
1.162939 0.692633 -2.227659 -3.692711 -20.000000
1.101156 0.596659 -2.715925 -3.995870 -20.000000
1.031323 0.496764 -2.870697 -4.001751 -6.129617
0.961580 0.400698 -2.707974 -3.685718 6.762061
0.898867 0.315752 -2.308233 -3.110567 16.190313
0.847383 0.246537 -1.809854 -2.427298 19.999441
0.808395 0.194339 -1.308966 -1.749612 19.999934
0.781716 0.158723 -0.825211 -1.100778 19.270079
0.765957 0.137798 -0.435502 -0.573965 15.488246
0.758626 0.128366 -0.151005 -0.181023 11.273073
0.757153 0.127181 0.033131 0.086182 7.253931
0.759189 0.131324 0.129786 0.245412 3.747835
0.762742 0.138351 0.154444 0.317120 0.858402
0.766204 0.146324 0.122607 0.321211 -1.412637
0.768346 0.153781 0.048730 0.275762 -3.105692
0.768277 0.159681 -0.054189 0.196594 -4.277531
0.765415 0.163350 -0.174794 0.097168 -4.992300
0.759436 0.164421 -0.303461 -0.011421 -5.318522
0.750239 0.162775 -0.432350 -0.120376 -5.327024
0.737892 0.158485 -0.555374 -0.223075 -5.088301
0.722599 0.151766 -0.668115 -0.314882 -4.669448
0.704653 0.142925 -0.767653 -0.392896 -4.131246
0.684403 0.132326 -0.852357 -0.455675 -3.526022
0.662229 0.120352 -0.921646 -0.502937 -2.896361
0.638512 0.107383 -0.975741 -0.535265 -2.274976
0.613623 0.093779 -1.015441 -0.553844 -1.685261
0.587907 0.079863 -1.041918 -0.560229 -1.142472
0.561677 0.065918 -1.056554 -0.556152 -0.655184
0.535210 0.052183 -1.060814 -0.543385 -0.226830
0.508749 0.038855 -1.056156 -0.523631 0.142871
0.482498 0.026088 -1.043963 -0.498461 0.456677
0.456630 0.014000 -1.025512 -0.469277 0.718834
0.431287 0.002675 -1.001954 -0.437296 0.934333
0.406584 -0.007828 -0.974309 -0.403550 1.108382
0.382613 -0.017477 -0.943466 -0.368901 1.246067
0.359442 -0.026257 -0.910197 -0.334049 1.352147
0.337126 -0.034172 -0.875162 -0.299560 1.430951
0.315700 -0.041235 -0.838928 -0.265877 1.486344
0.295189 -0.047471 -0.801975 -0.233344 1.521738
0.275606 -0.052911 -0.764707 -0.202218 1.540118
0.256954 -0.057594 -0.727466 -0.172687 1.544090
0.239229 -0.061561 -0.690537 -0.144879 1.535927
0.222421 -0.064856 -0.654156 -0.118875 1.517611
0.206512 -0.067524 -0.618519 -0.094717 1.490872
0.191484 -0.069611 -0.583781 -0.072415 1.457225
0.177311 -0.071165 -0.550069 -0.051953 1.417995
0.163966 -0.072230 -0.517480 -0.033295 1.374344
0.151422 -0.072850 -0.486088 -0.016387 1.327290
0.139646 -0.073070 -0.455944 -0.001165 1.277720
0.128609 -0.072929 -0.427084 0.012447 1.226410
0.118276 -0.072467 -0.399525 0.024530 1.174028
0.108616 -0.071721 -0.373272 0.035172 1.121152
0.099596 -0.070726 -0.348319 0.044462 1.068275
0.091184 -0.069515 -0.324650 0.052492 1.015812
0.083348 -0.068118 -0.302240 0.059354 0.964113
0.076056 -0.066563 -0.281059 0.065137 0.913462
0.069280 -0.064876 -0.261072 0.069931 0.864091
0.062988 -0.063080 -0.242240 0.073821 0.816182
0.057153 -0.061198 -0.224519 0.076890 0.769874
0.051749 -0.059248 -0.207866 0.079216 0.725269
0.046747 -0.057248 -0.192235 0.080874 0.682435
0.042124 -0.055214 -0.177580 0.081934 0.641416
0.037856 -0.053161 -0.163854 0.082463 0.602228
0.033920 -0.051100 -0.151011 0.082520 0.564871
0.030295 -0.049043 -0.139006 0.082164 0.529328
0.026960 -0.046999 -0.127795 0.081447 0.495567
0.023896 -0.044977 -0.117334 0.080416 0.463549
0.021084 -0.042985 -0.107582 0.079117 0.433226
0.018508 -0.041027 -0.098498 0.077589 0.404542
0.016151 -0.039110 -0.090045 0.075868 0.377439
0.013998 -0.037238 -0.082184 0.073988 0.351857
0.012035 -0.035415 -0.074882 0.071977 0.327731
0.010247 -0.033643 -0.068103 0.069864 0.304999
0.008623 -0.031925 -0.061817 0.067670 0.283592
0.007151 -0.030263 -0.055993 0.065417 0.263462
0.005818 -0.028657 -0.050602 0.063125 0.244536
0.004615 -0.027109 -0.045616 0.060809 0.226755
0.003532 -0.025619 -0.041011 0.058483 0.210060
0.002560 -0.024187 -0.036762 0.056161 0.194396
0.001690 -0.022813 -0.032845 0.053854 0.179710
0.000914 -0.021496 -0.029239 0.051570 0.165951
0.000224 -0.020236 -0.025924 0.049318 0.153068
-0.000386 -0.019031 -0.022880 0.047105 0.141014
-0.000923 -0.017882 -0.020089 0.044937 0.129745
-0.001393 -0.016785 -0.017534 0.042819 0.119217
-0.001803 -0.015741 -0.015198 0.040755 0.109388
-0.002156 -0.014748 -0.013066 0.038747 0.100220
-0.002458 -0.013805 -0.011124 0.036799 0.091676
-0.002714 -0.012909 -0.009358 0.034912 0.083719
-0.002928 -0.012060 -0.007756 0.033088 0.076316
-0.003104 -0.011255 -0.006306 0.031328 0.069435
-0.003246 -0.010493 -0.004997 0.029633 0.063044
-0.003356 -0.009774 -0.003817 0.028001 0.057116
-0.003438 -0.009094 -0.002758 0.026435 0.051622
-0.003495 -0.008452 -0.001810 0.024931 0.046536
-0.003530 -0.007847 -0.000964 0.023492 0.041833
-0.003545 -0.007277 -0.000212 0.022114 0.037489
-0.003542 -0.006741 0.000453 0.020798 0.033483
-0.003523 -0.006238 0.001039 0.019541 0.029792
-0.003491 -0.005764 0.001552 0.018343 0.026397
-0.003446 -0.005320 0.001998 0.017202 0.023278
-0.003391 -0.004904 0.002383 0.016117 0.020417
-0.003328 -0.004514 0.002713 0.015086 0.017797
-0.003256 -0.004150 0.002991 0.014107 0.015402
-0.003179 -0.003809 0.003224 0.013179 0.013216
-0.003096 -0.003491 0.003415 0.012300 0.011225
-0.003009 -0.003194 0.003569 0.011467 0.009415
-0.002918 -0.002917 0.003688 0.010681 0.007774
-0.002825 -0.002660 0.003777 0.009937 0.006288
