p theta v omega u
0.000000 3.140000 0.000000 0.000000 -3.522512
-0.001101 3.141382 -0.088091 0.110460 -14.025135
-0.007686 3.149615 -0.438644 0.547730 -7.302570
-0.020930 3.166105 -0.620801 0.770551 -15.779449
-0.041370 3.191393 -1.014268 1.250970 0.420017
-0.066575 3.222248 -1.001978 1.215637 -11.492131
-0.095180 3.256715 -1.286266 1.539548 17.102468
-0.121957 3.288049 -0.855842 0.965876 -20.000000
-0.149536 3.319236 -1.350178 1.526687 20.000000
-0.176998 3.348959 -0.846862 0.850284 -4.293769
-0.199438 3.370949 -0.948212 0.907590 2.144083
-0.222403 3.391841 -0.888948 0.762738 -1.616881
-0.245050 3.410449 -0.922778 0.724906 15.668375
-0.263178 3.421588 -0.527454 0.165980 8.935178
-0.273512 3.421251 -0.299292 -0.192959 20.000000
-0.274709 3.407823 0.203588 -0.881103 20.000000
-0.263327 3.377213 0.707134 -1.567117 20.000000
-0.239346 3.329509 1.211474 -2.248067 20.000000
-0.202751 3.264894 1.716072 -2.918874 20.000000
-0.153552 3.183716 2.219458 -3.571447 20.000000
-0.091809 3.086570 2.719057 -4.194113 20.000000
-0.017661 2.974385 3.211231 -4.771700 20.000000
0.068654 2.848506 3.691672 -5.286652 20.000000
0.166790 2.710723 4.156194 -5.721308 20.000000
0.276306 2.563235 4.601776 -6.060870 20.000000
0.396712 2.408551 5.027498 -6.295986 19.999840
0.527528 2.249331 5.434994 -6.423837 -14.881001
0.658164 2.095675 5.017724 -5.876556 -20.000000
0.777034 1.955936 4.494216 -5.314405 -20.000000
0.882987 1.829368 3.984149 -4.822591 -20.000000
0.976338 1.714243 3.485650 -4.398386 -20.000000
1.057348 1.608915 2.996568 -4.038173 -20.000000
1.126227 1.511831 2.514808 -3.738336 -20.000000
1.183133 1.421522 2.038475 -3.495671 -20.000000
1.228182 1.336593 1.565915 -3.307574 -20.000000
1.261449 1.255705 1.095699 -3.172115 -20.000000
1.282976 1.177559 0.626591 -3.088074 -20.000000
1.292778 1.100877 0.157497 -3.054958 -20.000000
1.290843 1.024385 -0.312575 -3.073021 -20.000000
1.277134 0.946792 -0.784557 -3.143261 -20.000000
1.251592 0.866773 -1.259349 -3.267411 -20.000000
1.214135 0.782952 -1.737823 -3.447885 -20.000000
1.164663 0.693885 -2.220802 -3.687641 -20.000000
1.103052 0.598049 -2.708981 -3.989906 -6.365220
1.033321 0.498234 -2.869463 -4.001355 6.559303
0.963547 0.402111 -2.711764 -3.690703 16.040706
0.900692 0.316988 -2.315789 -3.119810 19.999864
0.849019 0.247543 -1.817450 -2.436454 20.000000
0.809840 0.195118 -1.316585 -1.758650 19.291450
0.782978 0.159285 -0.832304 -1.109039 15.528990
0.767054 0.138171 -0.441578 -0.580861 11.319793
0.759586 0.128586 -0.155912 -0.186394 7.299003
0.758004 0.127285 0.029352 0.082253 3.787672
0.759958 0.131344 0.127003 0.242733 0.891780
0.763451 0.138317 0.152494 0.315471 -1.385840
0.766874 0.146260 0.121324 0.320373 -3.085071
0.768989 0.153703 0.047960 0.275534 -4.262479
0.768906 0.159603 -0.054586 0.196801 -4.982113
0.766037 0.163281 -0.174938 0.097662 -5.312448
0.760057 0.164366 -0.303456 -0.010762 -5.324297
0.750860 0.162737 -0.432278 -0.119650 -5.088176
0.738516 0.158466 -0.555300 -0.222356 -4.671229
0.723224 0.151763 -0.668085 -0.314221 -4.134298
0.705277 0.142938 -0.767699 -0.392327 -3.529862
0.685025 0.132351 -0.852498 -0.455218 -2.900555
0.662846 0.120387 -0.921891 -0.502599 -2.279200
0.639122 0.107426 -0.976090 -0.535044 -1.689285
0.614223 0.093826 -1.015890 -0.553733 -1.146143
0.588494 0.079912 -1.042457 -0.560216 -0.658414
0.562250 0.065966 -1.057173 -0.556223 -0.229576
0.535767 0.052229 -1.061501 -0.543526 0.140616
0.509288 0.038896 -1.056898 -0.523828 0.454898
0.483018 0.026123 -1.044748 -0.498701 0.717502
0.457130 0.014029 -1.026330 -0.469547 0.933408
0.431766 0.002697 -1.002795 -0.437586 1.107824
0.407042 -0.007813 -0.975163 -0.403852 1.245834
0.383049 -0.017470 -0.944326 -0.369206 1.352199
0.359857 -0.026258 -0.911055 -0.334352 1.431249
0.337520 -0.034180 -0.876013 -0.299855 1.486855
0.316073 -0.041250 -0.839767 -0.266160 1.522427
0.295541 -0.047493 -0.802796 -0.233611 1.540957
0.275937 -0.052940 -0.765508 -0.202468 1.545054
0.257266 -0.057629 -0.728244 -0.172917 1.536991
0.239522 -0.061601 -0.691289 -0.145089 1.518754
0.222695 -0.064901 -0.654881 -0.119064 1.492075
0.206769 -0.067573 -0.619214 -0.094885 1.458470
0.191723 -0.069665 -0.584446 -0.072561 1.419267
0.177534 -0.071222 -0.550704 -0.052078 1.375631
0.164174 -0.072289 -0.518084 -0.033400 1.328579
0.151615 -0.072912 -0.486662 -0.016473 1.279001
0.139825 -0.073134 -0.456488 -0.001232 1.227674
0.128774 -0.072994 -0.427598 0.012397 1.175268
0.118429 -0.072533 -0.400009 0.024496 1.122362
0.108757 -0.071788 -0.373728 0.035153 1.069449
0.099726 -0.070794 -0.348747 0.044457 1.016948
0.091304 -0.069583 -0.325051 0.052500 0.965206
0.083458 -0.068185 -0.302615 0.059373 0.914511
0.076158 -0.066630 -0.281410 0.065167 0.865095
0.069372 -0.064942 -0.261400 0.069970 0.817139
0.063073 -0.063145 -0.242545 0.073867 0.770784
0.057231 -0.061261 -0.224803 0.076943 0.726132
0.051819 -0.059310 -0.208130 0.079275 0.683253
0.046812 -0.057308 -0.192480 0.080937 0.642188
0.042183 -0.055273 -0.177807 0.082002 0.602957
0.037909 -0.053218 -0.164064 0.082533 0.565557
0.033968 -0.051155 -0.151206 0.082593 0.529973
0.030338 -0.049096 -0.139186 0.082239 0.496173
0.026999 -0.047051 -0.127961 0.081523 0.464118
0.023931 -0.045027 -0.117487 0.080493 0.433758
0.021116 -0.043032 -0.107723 0.079194 0.405040
0.018536 -0.041073 -0.098628 0.077666 0.377905
0.016176 -0.039154 -0.090164 0.075944 0.352292
0.014020 -0.037280 -0.082293 0.074063 0.328137
0.012054 -0.035455 -0.074982 0.072051 0.305378
0.010264 -0.033682 -0.068195 0.069936 0.283945
0.008638 -0.031962 -0.061901 0.067741 0.263790
0.007163 -0.030298 -0.056069 0.065486 0.244842
0.005829 -0.028690 -0.050671 0.063192 0.227039
0.004625 -0.027141 -0.045679 0.060874 0.210324
0.003540 -0.025649 -0.041068 0.058547 0.194642
0.002567 -0.024215 -0.036813 0.056222 0.179938
0.001695 -0.022840 -0.032892 0.053913 0.166162
0.000918 -0.021521 -0.029281 0.051627 0.153263
0.000227 -0.020260 -0.025962 0.049373 0.141195
-0.000384 -0.019054 -0.022914 0.047158 0.129912
-0.000922 -0.017903 -0.020119 0.044988 0.119370
-0.001393 -0.016805 -0.017560 0.042867 0.109530
-0.001802 -0.015760 -0.015221 0.040801 0.100351
-0.002156 -0.014766 -0.013087 0.038791 0.091795
-0.002459 -0.013821 -0.011142 0.036841 0.083828
-0.002716 -0.012925 -0.009374 0.034952 0.076417
-0.002930 -0.012074 -0.007770 0.033126 0.069527
-0.003106 -0.011269 -0.006318 0.031364 0.063129
-0.003248 -0.010506 -0.005007 0.029667 0.057193
